id,X,Y,AP1_rss,AP2_rss,AP3_rss,AP1_dev,AP2_dev,AP3_dev,AP1_dist,AP2_dist,AP3_dist,AP1_dist_dev,AP2_dist_dev,AP3_dist_dev
425,2,11,75,65,86,0.577350269189626,0.836660026534076,1.04880884817015,13032,5383,14201,69.2290882986817,164.961207561051,131.998484839789
426,2,10,77,72,78,1.1180339887499,2,0.948683298050514,11981,5819,12973,287.456518451052,260.184165544331,480.862350366506
427,2,9,76,66,78,2.59807621135332,1,1.34164078649987,12299,6464,13079,180.85422306377,174.293143869746,263.024523571472
428,2,7,74,72,83,2.23606797749979,1.09544511501033,0.836660026534076,10455,8007,13781,119.294802904401,158.822227663511,180.72492910498
429,2,6,69,81,83,0.577350269189626,1.54919333848297,1.09544511501033,9414,10541,12864,339.732247512655,125.802623184097,172.849934914654
430,2,5,70,73,87,0.816496580927726,1.04880884817015,0.774596669241483,9353,11006,14376,159.209505578865,147.837410691611,105.665983173394
431,3,5,68,77,85,0.707106781186548,0.774596669241483,1.04880884817015,8736,10748,12791,808.500154607283,237.054635052766,166.381188840566
432,4,4,77,80,83,0.707106781186548,1.09544511501033,1.04880884817015,6931,13427,14259,564,126.523120416784,276.90774637052
433,3,4,73,80,82,0,1.04880884817015,0.948683298050514,7067,12404,13460,0,112.292475259921,178.892146278142
434,0,12,77,66,81,0,1,0.707106781186548,14793,5543,14888,0,107.230126363816,180.860443436369
435,0,8,72,77,83,1,2.19089023002066,1.04880884817015,12704,9142,17056,159.500783697134,859.471930897106,1041.04106547244
436,0,5,78,81,81,0.816496580927726,1.7606816861659,1.34164078649987,9650,11496,16062,358.038173011389,420.593390342739,316.77073728487
437,0,3,72,85,76,0.816496580927726,0.836660026534076,1.22474487139159,9131,13657,19020,77.3110600108419,167.790047380648,421.117798246524
438,0,1,77,82,83,1.91485421551268,1.37840487520902,1.04880884817015,10677,14708,17991,2576.13819505088,150.157916874203,256.273486728534
439,2,13,73,70,87,0,1.4142135623731,1.84390889145858,15524,3158,13753,134,368.254259988938,212.348769716238
440,2,16,72,68,77,0,1.18321595661992,1.04880884817015,17664,-128,14394,0,134.224811417264,186.727073559246
441,0,16,82,61,80,2.54950975679639,1.26491106406735,1.14017542509914,20361,3114,16323,337.500370370167,208.788888593239,435.109756268462
442,0,18,80,65,83,0,1.04880884817015,1.09544511501033,22640,3974,19082,204,191.215585138869,95.3740006500724
443,2,18,75,72,79,0.577350269189626,1.18321595661992,0.836660026534076,19562,2859,14999,276.727302592281,264.403479553504,244.247210833614
