Best Fitness,Cp_min,Cp_max,Cg_min,Cg_max,w_min,w_max,gwn_std_dev
8.124893188476562,0.1,3.5,0.5,1.5,0.05,2.0,0.15
12.309885025024414,0.1,3.5,0.5,1.5,0.3,2.0,0.07
8.82334041595459,0.1,3.5,0.5,1.5,0.8,0.9,0.01
7.584201335906982,0.1,3.5,0.5,1.5,0.8,1.3,0.2
8.459907531738281,0.1,3.5,0.5,1.5,0.8,1.3,0.2
5.734825611114502,0.1,3.5,0.7,3.5,0.05,1.3,0.01
7.092316150665283,0.1,3.5,0.7,3.5,0.05,1.7,0.01
7.476090431213379,0.1,3.5,0.7,3.5,0.05,2.0,0.15
6.427600383758545,0.1,3.5,0.7,3.5,0.3,1.3,0.01
5.249585151672363,0.1,3.5,0.7,3.5,0.3,2.0,0.2
6.480354309082031,0.1,3.5,0.7,3.5,0.8,1.3,0.15
4.089330673217773,0.1,3.5,0.7,3.5,0.8,1.7,0.2
8.029569625854492,0.1,3.5,0.7,3.0,0.05,1.3,0.15
8.493202209472656,0.1,3.5,0.7,3.0,0.05,2.0,0.2
12.990931510925293,0.1,3.5,0.7,3.0,0.3,1.3,0.15
6.55136775970459,0.1,3.5,0.7,3.0,0.3,2.0,0.2
8.643718719482422,0.1,3.5,0.7,3.0,0.8,0.9,0.07
9.184619903564453,0.1,3.5,0.7,3.0,0.8,2.0,0.15
7.234659194946289,0.1,3.5,0.7,3.0,0.8,2.0,0.07
5.512274742126465,0.1,3.5,0.7,2.5,0.05,1.7,0.01
8.605059623718262,0.1,3.5,0.7,2.5,0.05,2.0,0.2
8.751720428466797,0.1,3.5,0.7,2.5,0.3,1.7,0.01
5.447460651397705,0.1,3.5,0.7,2.5,0.3,2.0,0.15
5.645747184753418,0.1,3.5,0.7,2.5,0.8,0.9,0.2
10.52869987487793,0.1,3.5,0.7,2.5,0.8,1.7,0.01
11.192960739135742,0.1,3.5,0.7,2.0,0.05,1.3,0.01
9.853507995605469,0.1,3.5,0.7,2.0,0.05,2.0,0.07
9.152256965637207,0.1,3.5,0.7,2.0,0.3,0.9,0.07
5.371054649353027,0.1,3.5,0.7,2.0,0.3,1.7,0.2
10.89240837097168,0.1,3.5,0.7,2.0,0.8,0.9,0.07
5.386239051818848,0.1,3.5,0.7,2.0,0.8,0.9,0.2
10.55048942565918,0.1,3.5,0.7,2.0,0.8,2.0,0.2
11.906163215637207,0.1,3.5,0.7,1.5,0.05,1.7,0.01
9.829873085021973,0.1,3.5,0.7,1.5,0.05,1.7,0.2
11.776277542114258,0.1,3.5,0.7,1.5,0.3,1.3,0.2
12.032608032226562,0.1,3.5,0.7,1.5,0.3,1.3,0.15
